nome,slug,codigo_ibge,estado,regiao,populacao,descricao,economia
"Entre Rios do Oeste","entre-rios-do-oeste","","PR","","","",""
"Espigão Alto do Iguaçu","espigao-alto-do-iguacu","","PR","","","",""
"Farol","farol","","PR","","","",""
"Faxinal","faxinal","","PR","","","",""
"Fazenda Rio Grande","fazenda-rio-grande","","PR","","","",""
"Fênix","fenix","","PR","","","",""
"Fernandes Pinheiro","fernandes-pinheiro","","PR","","","",""
"Figueira","figueira","","PR","","","",""
"Floraí","florai","","PR","","","",""
"Flor da Serra do Sul","flor-da-serra-do-sul","","PR","","","",""
"Floresta","floresta","","PR","","","",""
"Florestópolis","florestopolis","","PR","","","",""
"Flórida","florida","","PR","","","",""
"Formosa do Oeste","formosa-do-oeste","","PR","","","",""
"Foz do Iguaçu","foz-do-iguacu","","PR","","","",""
"Francisco Alves","francisco-alves","","PR","","","",""
"Francisco Beltrão","francisco-beltrao","","PR","","","",""
"Foz do Jordão","foz-do-jordao","","PR","","","",""
"General Carneiro","general-carneiro","","PR","","","",""
"Godoy Moreira","godoy-moreira","","PR","","","",""
"Goioerê","goioere","","PR","","","",""
"Goioxim","goioxim","","PR","","","",""
"Grandes Rios","grandes-rios","","PR","","","",""
"Guaíra","guaira","","PR","","","",""
"Guairaçá","guairaca","","PR","","","",""
"Guamiranga","guamiranga","","PR","","","",""
"Guapirama","guapirama","","PR","","","",""
"Guaporema","guaporema","","PR","","","",""
"Guaraci","guaraci","","PR","","","",""
"Guaraniaçu","guaraniacu","","PR","","","",""
"Guarapuava","guarapuava","","PR","","","",""
"Guaraqueçaba","guaraquecaba","","PR","","","",""
"Guaratuba","guaratuba","","PR","","","",""
"Honório Serpa","honorio-serpa","","PR","","","",""
"Ibaiti","ibaiti","","PR","","","",""
"Ibema","ibema","","PR","","","",""
"Ibiporã","ibipora","","PR","","","",""
"Icaraíma","icaraima","","PR","","","",""
"Iguaraçu","iguaracu","","PR","","","",""
"Iguatu","iguatu","","PR","","","",""
"Imbaú","imbau","","PR","","","",""
"Imbituva","imbituva","","PR","","","",""
"Inácio Martins","inacio-martins","","PR","","","",""
"Inajá","inaja","","PR","","","",""
"Indianópolis","indianopolis","","PR","","","",""
"Ipiranga","ipiranga","","PR","","","",""
"Iporã","ipora","","PR","","","",""
"Iracema do Oeste","iracema-do-oeste","","PR","","","",""
"Irati","irati","","PR","","","",""
"Iretama","iretama","","PR","","","",""
"Itaguajé","itaguaje","","PR","","","",""
"Itaipulândia","itaipulandia","","PR","","","",""
"Itambaracá","itambaraca","","PR","","","",""
"Itambé","itambe","","PR","","","",""
"Itapejara d'Oeste","itapejara-d-oeste","","PR","","","",""
"Itaperuçu","itaperucu","","PR","","","",""
"Itaúna do Sul","itauna-do-sul","","PR","","","",""
"Ivaí","ivai","","PR","","","",""
"Ivaiporã","ivaipora","","PR","","","",""
"Ivaté","ivate","","PR","","","",""
"Ivatuba","ivatuba","","PR","","","",""
"Jaboti","jaboti","","PR","","","",""
"Jacarezinho","jacarezinho","","PR","","","",""
"Jaguapitã","jaguapita","","PR","","","",""
"Jaguariaíva","jaguariaiva","","PR","","","",""
"Jandaia do Sul","jandaia-do-sul","","PR","","","",""
"Janiópolis","janiopolis","","PR","","","",""
"Japira","japira","","PR","","","",""
"Japurá","japura","","PR","","","",""
"Jardim Alegre","jardim-alegre","","PR","","","",""
"Jardim Olinda","jardim-olinda","","PR","","","",""
"Jataizinho","jataizinho","","PR","","","",""
"Jesuítas","jesuitas","","PR","","","",""
"Joaquim Távora","joaquim-tavora","","PR","","","",""
"Jundiaí do Sul","jundiai-do-sul","","PR","","","",""
"Juranda","juranda","","PR","","","",""
"Jussara","jussara","","PR","","","",""
"Kaloré","kalore","","PR","","","",""
"Lapa","lapa","","PR","","","",""
"Laranjal","laranjal","","PR","","","",""
"Laranjeiras do Sul","laranjeiras-do-sul","","PR","","","",""
"Leópolis","leopolis","","PR","","","",""
"Lidianópolis","lidianopolis","","PR","","","",""
"Lindoeste","lindoeste","","PR","","","",""
"Loanda","loanda","","PR","","","",""
"Lobato","lobato","","PR","","","",""
"Londrina","londrina","","PR","","","",""
"Luiziana","luiziana","","PR","","","",""
"Lunardelli","lunardelli","","PR","","","",""
"Lupionópolis","lupionopolis","","PR","","","",""
"Mallet","mallet","","PR","","","",""
"Mamborê","mambore","","PR","","","",""
"Mandaguaçu","mandaguacu","","PR","","","",""
"Mandaguari","mandaguari","","PR","","","",""
"Mandirituba","mandirituba","","PR","","","",""
"Manfrinópolis","manfrinopolis","","PR","","","",""
"Mangueirinha","mangueirinha","","PR","","","",""
"Manoel Ribas","manoel-ribas","","PR","","","",""
"Marechal Cândido Rondon","marechal-candido-rondon","","PR","","","",""
"Maria Helena","maria-helena","","PR","","","",""
"Marialva","marialva","","PR","","","",""
"Marilândia do Sul","marilandia-do-sul","","PR","","","",""
"Marilena","marilena","","PR","","","",""
"Mariluz","mariluz","","PR","","","",""
"Maringá","maringa","","PR","","","",""
"Mariópolis","mariopolis","","PR","","","",""
"Maripá","maripa","","PR","","","",""
"Marmeleiro","marmeleiro","","PR","","","",""
"Marquinho","marquinho","","PR","","","",""
"Marumbi","marumbi","","PR","","","",""
"Matelândia","matelandia","","PR","","","",""
"Matinhos","matinhos","","PR","","","",""
"Mato Rico","mato-rico","","PR","","","",""
"Mauá da Serra","maua-da-serra","","PR","","","",""
"Medianeira","medianeira","","PR","","","",""
"Mercedes","mercedes","","PR","","","",""
"Mirador","mirador","","PR","","","",""
"Miraselva","miraselva","","PR","","","",""
"Missal","missal","","PR","","","",""
"Moreira Sales","moreira-sales","","PR","","","",""
"Morretes","morretes","","PR","","","",""
"Munhoz de Melo","munhoz-de-melo","","PR","","","",""
"Nossa Senhora das Graças","nossa-senhora-das-gracas","","PR","","","",""
"Nova Aliança do Ivaí","nova-alianca-do-ivai","","PR","","","",""
"Nova América da Colina","nova-america-da-colina","","PR","","","",""
"Nova Aurora","nova-aurora","","PR","","","",""
"Nova Cantu","nova-cantu","","PR","","","",""
"Nova Esperança","nova-esperanca","","PR","","","",""
"Nova Esperança do Sudoeste","nova-esperanca-do-sudoeste","","PR","","","",""
"Nova Fátima","nova-fatima","","PR","","","",""
"Nova Laranjeiras","nova-laranjeiras","","PR","","","",""
"Nova Londrina","nova-londrina","","PR","","","",""
"Nova Olímpia","nova-olimpia","","PR","","","",""
"Nova Santa Bárbara","nova-santa-barbara","","PR","","","",""
"Nova Santa Rosa","nova-santa-rosa","","PR","","","",""
"Nova Prata do Iguaçu","nova-prata-do-iguacu","","PR","","","",""
"Nova Tebas","nova-tebas","","PR","","","",""
"Novo Itacolomi","novo-itacolomi","","PR","","","",""
"Ortigueira","ortigueira","","PR","","","",""
"Ourizona","ourizona","","PR","","","",""
"Ouro Verde do Oeste","ouro-verde-do-oeste","","PR","","","",""
"Paiçandu","paicandu","","PR","","","",""
"Palmas","palmas","","PR","","","",""
"Palmeira","palmeira","","PR","","","",""
"Palmital","palmital","","PR","","","",""
"Palotina","palotina","","PR","","","",""
"Paraíso do Norte","paraiso-do-norte","","PR","","","",""
"Paranacity","paranacity","","PR","","","",""
"Paranaguá","paranagua","","PR","","","",""
"Paranapoema","paranapoema","","PR","","","",""
"Paranavaí","paranavai","","PR","","","",""
"Pato Bragado","pato-bragado","","PR","","","",""
"Pato Branco","pato-branco","","PR","","","",""
"Paula Freitas","paula-freitas","","PR","","","",""
"Paulo Frontin","paulo-frontin","","PR","","","",""
"Peabiru","peabiru","","PR","","","",""
"Perobal","perobal","","PR","","","",""
"Pérola","perola","","PR","","","",""
"Pérola d'Oeste","perola-d-oeste","","PR","","","",""
"Piên","pien","","PR","","","",""
"Pinhais","pinhais","","PR","","","",""
"Pinhalão","pinhalao","","PR","","","",""
"Pinhal de São Bento","pinhal-de-sao-bento","","PR","","","",""
"Pinhão","pinhao","","PR","","","",""
"Piraí do Sul","pirai-do-sul","","PR","","","",""
"Piraquara","piraquara","","PR","","","",""
"Pitanga","pitanga","","PR","","","",""
"Pitangueiras","pitangueiras","","PR","","","",""
"Planaltina do Paraná","planaltina-do-parana","","PR","","","",""
"Planalto","planalto","","PR","","","",""
"Ponta Grossa","ponta-grossa","","PR","","","",""
"Pontal do Paraná","pontal-do-parana","","PR","","","",""
"Porecatu","porecatu","","PR","","","",""
"Porto Amazonas","porto-amazonas","","PR","","","",""
"Porto Barreiro","porto-barreiro","","PR","","","",""
"Porto Rico","porto-rico","","PR","","","",""
"Porto Vitória","porto-vitoria","","PR","","","",""
"Prado Ferreira","prado-ferreira","","PR","","","",""
"Pranchita","pranchita","","PR","","","",""
"Presidente Castelo Branco","presidente-castelo-branco","","PR","","","",""
"Primeiro de Maio","primeiro-de-maio","","PR","","","",""
"Prudentópolis","prudentopolis","","PR","","","",""
"Quarto Centenário","quarto-centenario","","PR","","","",""
"Quatiguá","quatigua","","PR","","","",""
"Quatro Barras","quatro-barras","","PR","","","",""
"Quatro Pontes","quatro-pontes","","PR","","","",""
"Quedas do Iguaçu","quedas-do-iguacu","","PR","","","",""
"Querência do Norte","querencia-do-norte","","PR","","","",""
"Quinta do Sol","quinta-do-sol","","PR","","","",""
"Quitandinha","quitandinha","","PR","","","",""
"Ramilândia","ramilandia","","PR","","","",""
"Rancho Alegre","rancho-alegre","","PR","","","",""
"Rancho Alegre D'Oeste","rancho-alegre-d-oeste","","PR","","","",""
"Realeza","realeza","","PR","","","",""
"Rebouças","reboucas","","PR","","","",""
"Renascença","renascenca","","PR","","","",""
"Reserva","reserva","","PR","","","",""
"Reserva do Iguaçu","reserva-do-iguacu","","PR","","","",""
"Ribeirão Claro","ribeirao-claro","","PR","","","",""
"Ribeirão do Pinhal","ribeirao-do-pinhal","","PR","","","",""
"Rio Azul","rio-azul","","PR","","","",""
"Rio Bom","rio-bom","","PR","","","",""
"Rio Bonito do Iguaçu","rio-bonito-do-iguacu","","PR","","","",""
"Rio Branco do Ivaí","rio-branco-do-ivai","","PR","","","",""
"Rio Branco do Sul","rio-branco-do-sul","","PR","","","",""
"Rio Negro","rio-negro","","PR","","","",""
"Rolândia","rolandia","","PR","","","",""
"Roncador","roncador","","PR","","","",""
"Rondon","rondon","","PR","","","",""
"Rosário do Ivaí","rosario-do-ivai","","PR","","","",""
"Sabáudia","sabaudia","","PR","","","",""
"Salgado Filho","salgado-filho","","PR","","","",""
"Salto do Itararé","salto-do-itarare","","PR","","","",""
"Salto do Lontra","salto-do-lontra","","PR","","","",""
"Santa Amélia","santa-amelia","","PR","","","",""
"Santa Cecília do Pavão","santa-cecilia-do-pavao","","PR","","","",""
"Santa Cruz de Monte Castelo","santa-cruz-de-monte-castelo","","PR","","","",""
"Santa Fé","santa-fe","","PR","","","",""
"Santa Helena","santa-helena","","PR","","","",""
"Santa Inês","santa-ines","","PR","","","",""
"Santa Isabel do Ivaí","santa-isabel-do-ivai","","PR","","","",""
"Santa Izabel do Oeste","santa-izabel-do-oeste","","PR","","","",""
"Santa Lúcia","santa-lucia","","PR","","","",""
"Santa Maria do Oeste","santa-maria-do-oeste","","PR","","","",""
"Santa Mariana","santa-mariana","","PR","","","",""
"Santa Mônica","santa-monica","","PR","","","",""
"Santana do Itararé","santana-do-itarare","","PR","","","",""
"Santa Tereza do Oeste","santa-tereza-do-oeste","","PR","","","",""
"Santa Terezinha de Itaipu","santa-terezinha-de-itaipu","","PR","","","",""
"Santo Antônio da Platina","santo-antonio-da-platina","","PR","","","",""
"Santo Antônio do Caiuá","santo-antonio-do-caiua","","PR","","","",""
"Santo Antônio do Paraíso","santo-antonio-do-paraiso","","PR","","","",""
"Santo Antônio do Sudoeste","santo-antonio-do-sudoeste","","PR","","","",""
"Santo Inácio","santo-inacio","","PR","","","",""
"São Carlos do Ivaí","sao-carlos-do-ivai","","PR","","","",""
"São Jerônimo da Serra","sao-jeronimo-da-serra","","PR","","","",""
"São João","sao-joao","","PR","","","",""
"São João do Caiuá","sao-joao-do-caiua","","PR","","","",""
"São João do Ivaí","sao-joao-do-ivai","","PR","","","",""
"São João do Triunfo","sao-joao-do-triunfo","","PR","","","",""
"São Jorge d'Oeste","sao-jorge-d-oeste","","PR","","","",""
"São Jorge do Ivaí","sao-jorge-do-ivai","","PR","","","",""
"São Jorge do Patrocínio","sao-jorge-do-patrocinio","","PR","","","",""
"São José da Boa Vista","sao-jose-da-boa-vista","","PR","","","",""
"São José das Palmeiras","sao-jose-das-palmeiras","","PR","","","",""
"São José dos Pinhais","sao-jose-dos-pinhais","","PR","","","",""
"São Manoel do Paraná","sao-manoel-do-parana","","PR","","","",""
"São Mateus do Sul","sao-mateus-do-sul","","PR","","","",""
"São Miguel do Iguaçu","sao-miguel-do-iguacu","","PR","","","",""
"São Pedro do Iguaçu","sao-pedro-do-iguacu","","PR","","","",""
"São Pedro do Ivaí","sao-pedro-do-ivai","","PR","","","",""
"São Pedro do Paraná","sao-pedro-do-parana","","PR","","","",""
"São Sebastião da Amoreira","sao-sebastiao-da-amoreira","","PR","","","",""
"São Tomé","sao-tome","","PR","","","",""
"Sapopema","sapopema","","PR","","","",""
"Sarandi","sarandi","","PR","","","",""
"Saudade do Iguaçu","saudade-do-iguacu","","PR","","","",""
"Sengés","senges","","PR","","","",""
"Serranópolis do Iguaçu","serranopolis-do-iguacu","","PR","","","",""
"Sertaneja","sertaneja","","PR","","","",""
"Sertanópolis","sertanopolis","","PR","","","",""
"Siqueira Campos","siqueira-campos","","PR","","","",""
"Sulina","sulina","","PR","","","",""
"Tamarana","tamarana","","PR","","","",""
"Tamboara","tamboara","","PR","","","",""
"Tapejara","tapejara","","PR","","","",""
"Tapira","tapira","","PR","","","",""
"Teixeira Soares","teixeira-soares","","PR","","","",""
"Telêmaco Borba","telemaco-borba","","PR","","","",""
"Terra Boa","terra-boa","","PR","","","",""
"Terra Rica","terra-rica","","PR","","","",""
"Terra Roxa","terra-roxa","","PR","","","",""
"Tibagi","tibagi","","PR","","","",""
"Tijucas do Sul","tijucas-do-sul","","PR","","","",""
"Toledo","toledo","","PR","","","",""
"Tomazina","tomazina","","PR","","","",""
"Três Barras do Paraná","tres-barras-do-parana","","PR","","","",""
"Tunas do Paraná","tunas-do-parana","","PR","","","",""
"Tuneiras do Oeste","tuneiras-do-oeste","","PR","","","",""
"Tupãssi","tupassi","","PR","","","",""
"Turvo","turvo","","PR","","","",""
"Ubiratã","ubirata","","PR","","","",""
"Umuarama","umuarama","","PR","","","",""
"União da Vitória","uniao-da-vitoria","","PR","","","",""
"Uniflor","uniflor","","PR","","","",""
"Uraí","urai","","PR","","","",""
"Wenceslau Braz","wenceslau-braz","","PR","","","",""
"Ventania","ventania","","PR","","","",""
"Vera Cruz do Oeste","vera-cruz-do-oeste","","PR","","","",""
"Verê","vere","","PR","","","",""
"Alto Paraíso","alto-paraiso","","PR","","","",""
"Doutor Ulysses","doutor-ulysses","","PR","","","",""
"Virmond","virmond","","PR","","","",""
"Vitorino","vitorino","","PR","","","",""
"Xambrê","xambre","","PR","","","",""
